NM,threads,av_time,speedup,effect
20000,1,0.59316,1.00000,1.00
20000,2,0.29867,1.98600,0.99
20000,4,0.15504,3.82585,0.96
20000,7,0.09068,6.54124,0.93
20000,8,0.08001,7.41357,0.93
20000,16,0.05256,11.28539,0.71
20000,20,0.05214,11.37629,0.57
20000,25,0.04836,12.26551,0.49
20000,30,0.04860,12.20494,0.41
20000,35,0.04821,12.30367,0.35
20000,40,0.04996,11.87270,0.30
20000,45,0.04814,12.32156,0.27

Best num threads for 20000: 20

40000,1,2.18369,1.00000,1.00
40000,2,1.12312,1.94431,0.97
40000,4,0.59531,3.66816,0.92
40000,7,0.38874,5.61735,0.80
40000,8,0.33940,6.43397,0.80
40000,16,0.20742,10.52787,0.66
40000,20,0.12984,16.81831,0.84
40000,25,0.11970,18.24302,0.73
40000,30,0.11748,18.58776,0.62
40000,35,0.11851,18.42621,0.53
40000,40,0.12593,17.34051,0.43
40000,45,0.14200,15.37810,0.34

Best num threads for 40000: 35

